"WRITE","W1","1","HSET","doc:55f96d5e76ca4faca9621dd7fa5e09a3:1","title","Wikipedia\: APL \(programming language\)","url","https\://en\.wikipedia\.org/wiki/APL_\(programming_language\)","abstract","| designer \= Kenneth E\. Iverson"
"WRITE","W1","1","HSET","doc:02bc8f6deb034c9b86fe8507107e7bd6:2","title","Wikipedia\: April 17","url","https\://en\.wikipedia\.org/wiki/April_17","abstract","\=\=Events\=\="
"WRITE","W1","1","HSET","doc:b6028aed8a314703a1640447451b4762:3","title","Wikipedia\: Actrius","url","https\://en\.wikipedia\.org/wiki/Actrius","abstract","| starring       \="
"WRITE","W1","1","HSET","doc:97b22e1981214991a92b46f4fda934c6:4","title","Wikipedia\: Aster CT\-80","url","https\://en\.wikipedia\.org/wiki/Aster_CT\-80","abstract","thumb|right|300px|The very first \""kit\"" version of the Aster CT\-80 running Newdos/80\. The 64x16 TRS\-80 mode screen uses only a small part of the monitor screen\, because the letters are the same size as the 80×25 CP/M screen\."
"WRITE","W1","1","HSET","doc:1dd8951f131d4a5188f57178949fc3d4:5","title","Wikipedia\: Aaliyah","url","https\://en\.wikipedia\.org/wiki/Aaliyah","abstract","| birth_place   \= New York City\, U\.S\."
"WRITE","W1","1","HSET","doc:521910ad823544c3b306039aade6b9d8:6","title","Wikipedia\: Associative algebra","url","https\://en\.wikipedia\.org/wiki/Associative_algebra","abstract","In mathematics\, an associative algebra A is an algebraic structure with compatible operations of addition\, multiplication \(assumed to be associative\)\, and a scalar multiplication by elements in some field K\. The addition and multiplication operations together give A the structure of a ring\; the addition and scalar multiplication operations together give A the structure of a vector space over K\."
"WRITE","W1","1","HSET","doc:e5059e3841ed4c78affeab6a7a71e329:7","title","Wikipedia\: Atomic orbital","url","https\://en\.wikipedia\.org/wiki/Atomic_orbital","abstract","In atomic theory and quantum mechanics\, an atomic orbital is a function describing the location and wave\-like behavior of an electron in an atom\. This function can be used to calculate the probability of finding any electron of an atom in any specific region around the atom\'s nucleus\."
"WRITE","W1","1","HSET","doc:fd885f318ac94e419bb0f9568f9eb985:8","title","Wikipedia\: Analytic geometry","url","https\://en\.wikipedia\.org/wiki/Analytic_geometry","abstract","In classical mathematics\, analytic geometry\, also known as coordinate geometry or Cartesian geometry\, is the study of geometry using a coordinate system\. This contrasts with synthetic geometry\."
"WRITE","W1","1","HSET","doc:86cd6ab91ecc4bcda746dd94071f8d7f:9","title","Wikipedia\: André\-Marie Ampère","url","https\://en\.wikipedia\.org/wiki/Andr\%C3\%A9\-Marie_Amp\%C3\%A8re","abstract","| birth_place \= Lyon\, Kingdom of France"
"WRITE","W1","1","HSET","doc:9e9b41228b8842bcbaad32c5048cf236:10","title","Wikipedia\: Abdul Rashid Dostum","url","https\://en\.wikipedia\.org/wiki/Abdul_Rashid_Dostum","abstract","\}\}"
"WRITE","W1","1","HSET","doc:9c12dcd2f8354eecbec553a3c52d510f:11","title","Wikipedia\: Albert Camus","url","https\://en\.wikipedia\.org/wiki/Albert_Camus","abstract","| birth_place \= Mondovi\, French Algeria \(present\-day Dréan\, Algeria\)"
"WRITE","W1","1","HSET","doc:280b09c9621540acbb91347d61b64c1f:12","title","Wikipedia\: Automorphism","url","https\://en\.wikipedia\.org/wiki/Automorphism","abstract","thumb|right|400px|An \[of the \[\[w\:Klein_four\-group|Klein four\-group\] shown as a mapping between two \[graphs\]\, a permutation in \[notation\]\, and a mapping between two \[tables\]\."
"WRITE","W1","1","HSET","doc:213d130a37324c6abbf86fad3f091971:13","title","Wikipedia\: Alfonso III","url","https\://en\.wikipedia\.org/wiki/Alfonso_III","abstract","Alfonso III may refer to\:"
"WRITE","W1","1","HSET","doc:05ff5ffd8e3d4ec19271682a8d90a306:14","title","Wikipedia\: Lory \(disambiguation\)","url","https\://en\.wikipedia\.org/wiki/Lory_\(disambiguation\)","abstract","A Lory is a small to medium\-sized arboreal parrot\."
"WRITE","W1","1","HSET","doc:059b4a88bf764506ba2cc45476c73065:15","title","Wikipedia\: Americium","url","https\://en\.wikipedia\.org/wiki/Americium","abstract","Americium is a synthetic radioactive chemical element with the symbol Am and atomic number 95\. It is a transuranic member of the actinide series\, in the periodic table located under the lanthanide element europium\, and thus by analogy was named after the Americas\."
"WRITE","W1","1","HSET","doc:9623158d11454967be66a9a36869cf0a:16","title","Wikipedia\: Ambrosia","url","https\://en\.wikipedia\.org/wiki/Ambrosia","abstract","In the ancient Greek myths\, ambrosia \(\, \)\, the food or drink of the Greek gods\, is often depicted as conferring longevity or immortality upon whoever consumed it\. It was brought to the gods in Olympus by doves and served either by Hebe or by Ganymede at the  heavenly feast\."
"WRITE","W1","1","HSET","doc:20b476f282584f8f8872328da6ff2453:17","title","Wikipedia\: Altaic languages","url","https\://en\.wikipedia\.org/wiki/Altaic_languages","abstract","\(sometimes included\)"
